team_id,team_name,wins,losses,ties,games_played,win_pct,table,week,home_team,away_team,home_score,away_score,total_points
1.0,Lets Buccin' Go!,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
2.0,Hurts to Lose,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
3.0,Gone in 60 Saquons ,3.0,1.0,0.0,4.0,0.75,teams,,,,,,
4.0,Straight Outta Tomlin,3.0,1.0,0.0,4.0,0.75,teams,,,,,,
5.0,Keon: The Professional,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
7.0,Dub Dynasty,0.0,4.0,0.0,4.0,0.0,teams,,,,,,
8.0,Jaxson Dart the savior,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
9.0,Behind The Steel Curtain,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
10.0,Team Scollins,1.0,3.0,0.0,4.0,0.25,teams,,,,,,
11.0,THE A-TEAM,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
12.0,Ja'Marr-a-Lago,2.0,2.0,0.0,4.0,0.5,teams,,,,,,
13.0,This Just In: Jefferson,3.0,1.0,0.0,4.0,0.75,teams,,,,,,
,,,,,,,scoreboard,5.0,Ja'Marr-a-Lago,Lets Buccin' Go!,0.0,0.0,0.0
,,,,,,,scoreboard,5.0,Jaxson Dart the savior,Keon: The Professional,0.0,0.0,0.0
,,,,,,,scoreboard,5.0,Team Scollins,Gone in 60 Saquons ,0.0,0.0,0.0
,,,,,,,scoreboard,5.0,Dub Dynasty,This Just In: Jefferson,0.0,0.0,0.0
,,,,,,,scoreboard,5.0,Hurts to Lose,THE A-TEAM,0.0,0.0,0.0
,,,,,,,scoreboard,5.0,Straight Outta Tomlin,Behind The Steel Curtain,0.0,0.0,0.0
